name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
onpos_high_0.9_90_sm1.0,overnight,e7491ce8e2db,90,long,341,-0.254582902077222,0.09772269857418844,0.22580645161290322,235,-0.2585333788506409,106,-0.24582476960784977,0.12950341962685344,0.2830188679245283,1.5080826113354647e-18,False
onpos_low_0.8_90_sm1.0,overnight,f9da39c7759c,90,short,479,-0.2491367167528531,0.13509705871340352,0.22338204592901878,323,-0.2500861935281994,156,-0.24717081291671925,0.11614041092834132,0.22435897435897437,2.925827787405998e-28,False
onpos_high_0.8_30_sm1.0,overnight,32fae34cbede,30,long,511,-0.27022470250794905,0.1300781369200984,0.2622309197651663,351,-0.277258470771107,160,-0.2547943733806462,0.1582001275874887,0.25,2.8266933352997316e-23,False
onpos_high_0.8_30_rr1.0_sm1.0,overnight,5da82ff40f03,30,long,511,-0.2623287509269398,0.1446270857658312,0.26614481409001955,351,-0.2657632250221164,160,-0.2547943733806462,0.1582001275874887,0.25,2.8266933352997316e-23,False
onpos_high_0.8_30_rr1.5_sm1.0,overnight,d75b2f6f40f6,30,long,511,-0.27022470250794905,0.1300781369200984,0.2622309197651663,351,-0.277258470771107,160,-0.2547943733806462,0.1582001275874887,0.25,2.8266933352997316e-23,False
onpos_high_0.8_30_rr2.0_sm1.0,overnight,1b214c93e0c9,30,long,511,-0.27022470250794905,0.1300781369200984,0.2622309197651663,351,-0.277258470771107,160,-0.2547943733806462,0.1582001275874887,0.25,2.8266933352997316e-23,False
onpos_low_0.8_30_sm1.0,overnight,360cdcf00c6a,30,short,416,-0.2663627076731366,0.12605735217530364,0.2091346153846154,284,-0.2695913322103385,132,-0.259416273062793,0.11499637114798113,0.2196969696969697,2.893195509189601e-26,False
onpos_high_0.8_90_sm0.75,overnight,8e1462c61c82,90,long,527,-0.26726386775190786,0.16627476660321452,0.3111954459203036,374,-0.26680248786860283,153,-0.26839168524443135,0.18833001390861523,0.33986928104575165,1.4623296236488115e-20,False
onpos_low_0.9_30_sm1.0,overnight,ce60263050b7,30,short,268,-0.29019992186408955,0.09855909148450435,0.19029850746268656,185,-0.2981204649318667,83,-0.27254569936362216,0.090124585600322,0.20481927710843373,1.8079469922275573e-20,False
onpos_low_0.9_90_sm1.0,overnight,915c92b3ed2e,90,short,341,-0.29154612387907713,0.09393463916247355,0.187683284457478,233,-0.28927333199905436,108,-0.2964494619165338,0.07183869017328592,0.19444444444444445,1.7552865747377494e-26,False
onpos_high_0.8_30_rr1.0_sm0.75,overnight,8652b0493154,30,long,511,-0.3324238015423835,0.15421653278399194,0.26614481409001955,351,-0.34291975925520535,160,-0.3093982943098804,0.17138980727238126,0.25,5.303189047519988e-24,False
onpos_high_0.9_30_sm1.0,overnight,b8b0e3f01c6a,30,long,304,-0.2992800330644794,0.09974232335891588,0.20394736842105263,210,-0.2947050497595815,94,-0.30950074044776205,0.10185423229133743,0.20212765957446807,1.9683836151814156e-19,False
onpos_high_0.8_30_sm0.75,overnight,9acc6fb79e2f,30,long,511,-0.3460414143886682,0.1338261880071926,0.2583170254403131,351,-0.36267598887252217,160,-0.30954931661471313,0.17098534925365572,0.25,4.873742443507408e-24,False
onpos_high_0.8_30_rr1.5_sm0.75,overnight,00f6a1f28ae0,30,long,511,-0.3460414143886682,0.1338261880071926,0.2583170254403131,351,-0.36267598887252217,160,-0.30954931661471313,0.17098534925365572,0.25,4.873742443507408e-24,False
onpos_high_0.8_30_rr2.0_sm0.75,overnight,996264477294,30,long,511,-0.3460414143886682,0.1338261880071926,0.2583170254403131,351,-0.36267598887252217,160,-0.30954931661471313,0.17098534925365572,0.25,4.873742443507408e-24,False
onpos_high_0.9_90_sm0.75,overnight,675bde82d1b5,90,long,341,-0.33159632760972374,0.09980458089351255,0.22580645161290322,235,-0.34027088113261333,106,-0.3123650061202988,0.13502648971544096,0.2830188679245283,1.854526121565078e-19,False
